member_casual,day_of_year,trip_date,avg_ride_len_secs,avg_ride_len,num_rides,daily_rides,part_of_daily_rides,part_of_tot_rides
member,290,2020-10-16,1041,00:17:21,6514,9943,0.65513426531228,0.001955982291063617
casual,290,2020-10-16,1862,00:31:02,3429,9943,0.34486573468772,0.0010296382063336113
casual,291,2020-10-17,1900,00:31:40,5946,12226,0.4863405856371667,0.0017854268809739434
member,291,2020-10-17,860,00:14:20,6280,12226,0.51365941436283336,0.0018857182664844207
member,292,2020-10-18,766,00:12:46,2810,4267,0.65854230138270453,0.00084376884216898435
casual,292,2020-10-18,1450,00:24:10,1457,4267,0.34145769861729552,0.00043749864876875809
member,293,2020-10-19,719,00:11:59,4815,6260,0.76916932907348246,0.0014458174288411601
casual,293,2020-10-19,1355,00:22:35,1445,6260,0.23083067092651757,0.0004338953654570044
member,294,2020-10-20,724,00:12:04,5983,7806,0.76646169613118109,0.0017965370045185172
casual,294,2020-10-20,1130,00:18:50,1823,7806,0.23353830386881885,0.00054739878977724506
casual,295,2020-10-21,1375,00:22:55,2246,8766,0.25621720282911248,0.00067441452651656193
member,295,2020-10-21,749,00:12:29,6520,8766,0.74378279717088747,0.0019577839327194939
member,296,2020-10-22,853,00:14:13,7454,11064,0.67371655820679677,0.0022382394838176547
casual,296,2020-10-22,1674,00:27:54,3610,11064,0.32628344179320318,0.001083987729619229
casual,297,2020-10-23,1283,00:21:23,1473,5836,0.25239890335846471,0.000442303026517763
member,297,2020-10-23,681,00:11:21,4363,5836,0.74760109664153529,0.0013100937574317718
casual,298,2020-10-24,1713,00:28:33,4429,10433,0.4245183552190166,0.001329911815646417
member,298,2020-10-24,854,00:14:14,6004,10433,0.5754816447809834,0.0018028427503140863
member,299,2020-10-25,797,00:13:17,4455,7163,0.62194611196426075,0.00133771892948855
casual,299,2020-10-25,1566,00:26:06,2708,7163,0.37805388803573919,0.00081314093401907818
casual,300,2020-10-26,1022,00:17:02,1015,5466,0.18569337724112697,0.00030477771345249793
member,300,2020-10-26,695,00:11:35,4451,5466,0.814306622758873,0.0013365178350512987
member,301,2020-10-27,774,00:12:54,4228,5178,0.81653147933565084,0.0012695568201745431
casual,301,2020-10-27,1149,00:19:09,950,5178,0.18346852066434918,0.00028525992884716552
member,302,2020-10-28,753,00:12:33,6317,8247,0.765975506244695,0.0018968283900289945
casual,302,2020-10-28,1264,00:21:04,1930,8247,0.23402449375530496,0.00057952806597371526
member,303,2020-10-29,682,00:11:22,5356,6860,0.78075801749271134,0.0016082654514793879
casual,303,2020-10-29,1011,00:16:51,1504,6860,0.21924198250728863,0.00045161150840646
casual,304,2020-10-30,1251,00:20:51,2152,7857,0.27389588901616391,0.00064618880724115816
member,304,2020-10-30,750,00:12:30,5705,7857,0.72610411098383609,0.0017130609411295573
member,305,2020-10-31,911,00:15:11,6581,11124,0.59160373966199209,0.001976100622887575
casual,305,2020-10-31,1853,00:30:53,4543,11124,0.40839626033800791,0.0013641430071080769
casual,306,2020-11-01,1434,00:23:54,1529,4800,0.31854166666666667,0.0004591183486392801
member,306,2020-11-01,730,00:12:10,3271,4800,0.68145833333333339,0.000982194976062188
