member_casual,day_of_year,month,day_of_month,avg_ride_len_secs,avg_ride_len,num_rides,part_of_tot_rides
casual,160,Jun,8,2512,00:41:52,4248,0.0012755622923607992
member,160,Jun,8,1079,00:17:59,5960,0.0017896307115043226
casual,161,Jun,9,2299,00:38:19,1882,0.00056511493272670059
member,161,Jun,9,949,00:15:49,3657,0.0010981005892569309
member,162,Jun,10,982,00:16:22,4745,0.0014247982761892636
casual,162,Jun,10,2227,00:37:07,2786,0.00083656227554547706
member,163,Jun,11,1113,00:18:33,7007,0.0021040171804548305
casual,163,Jun,11,2487,00:41:27,5088,0.0015277921241835561
casual,164,Jun,12,2274,00:37:54,4984,0.0014965636688150242
member,164,Jun,12,1040,00:17:20,6819,0.0020475657419040229
member,165,Jun,13,1116,00:18:36,7124,0.0021391491927444288
casual,165,Jun,13,2471,00:41:11,6923,0.0020787941972725548
member,166,Jun,14,1191,00:19:51,7003,0.0021028160860175793
casual,166,Jun,14,2682,00:44:42,7389,0.0022187216992123225
casual,167,Jun,15,2569,00:42:49,3908,0.0011734692651944451
member,167,Jun,15,1045,00:17:25,6133,0.0018415780459154381
member,168,Jun,16,1069,00:17:49,7020,0.002107920737375897
casual,168,Jun,16,2536,00:42:16,4903,0.001472241506460687
casual,169,Jun,17,2547,00:42:27,5385,0.0016169733861494595
member,169,Jun,17,1071,00:17:51,7283,0.0021868926966251648
member,170,Jun,18,1047,00:17:27,7539,0.0022637627406092431
casual,170,Jun,18,2497,00:41:37,5614,0.001685736042682092
member,171,Jun,19,1097,00:18:17,8330,0.0025012791655756724
casual,171,Jun,19,2421,00:40:21,7724,0.0023193133583321122
member,172,Jun,20,1108,00:18:28,7203,0.0021628708078801403
casual,172,Jun,20,2540,00:42:20,7216,0.0021667743648012068
member,173,Jun,21,1190,00:19:50,7016,0.0021067196429386459
casual,173,Jun,21,2712,00:45:12,7599,0.0022817791571680115
casual,174,Jun,22,2504,00:41:44,2478,0.00074407800387713289
member,174,Jun,22,970,00:16:10,4447,0.0013353167406140475
casual,175,Jun,23,2594,00:43:14,5516,0.0016563092289694368
member,175,Jun,23,1090,00:18:10,7978,0.0023955828550975651
member,176,Jun,24,1064,00:17:44,7520,0.0022580575420322996
casual,176,Jun,24,2513,00:41:53,5175,0.0015539159281937702
member,177,Jun,25,1092,00:18:12,8759,0.0026300965439708664
casual,177,Jun,25,2596,00:43:16,7037,0.0021130253887342147
casual,178,Jun,26,2304,00:38:24,2147,0.00064468743919459412
member,178,Jun,26,913,00:15:13,3902,0.0011716676235385684
